poster_session	id	session_ID	title	presenter	authors	affiliations
PS1	PO01	1	Oligonucleotide-based Fast Clustering Of Bacterial Genomes For Epidemiology And Phylogenetics	Joseba Bikandi	Rosario San Millan_1; Ilargi Martinez-Ballesteros_2; Lorena Laorden_2; Javier Garaizar_2; Joseba Bikandi_2	University of the Basque Country (EHU/UPV). Faculty of Medicine and Odontology.; University of the Basque Country (EHU/UPV). Faculty of Pharmacy
PS1	PO02	1	Russian Phage Roulette In Reference Genomes	Jonas T. Björkman	Jonas T. Björkman_1; Kristoffer Kiil_1; Eva Møller Nielsen_1	Statens Serum Institut
PS1	PO03	1	SCCmec Typing Of MRSA Genomes	Peder Worning	Peder Worning_1; Jesper Boye Nielsen_1; Heidi Gumpert_1; Mette Bartels_1; Henrik Westh_1	Hvidovre University Hospital
PS1	PO04	1	Towards NGS As Frontline Tool For Routine Typing Of !!S. aureus!!! At The German Reference Center For Staphylococci And Enterococci?	Birgit Strommenger	Birgit Strommenger_1; Sophie Ziegler_1; Stephan Fuchs_1; Jennifer Bender_1; Franziska Layer_1; Guido Werner_1	Robert Koch Institute
PS1	PO05	1	Accnet: New Tool For Accessory Genome Analysis Using Bipartite Networks.	Val Fernandez Lanza	Val Fernandez Lanza_1; Irene Rodriguez_1; Ana P. Tedim_1; María de Toro_2; Fernando de la Cruz_2; Rafael Cantón_1; Fernando Baquero_1; Teresa M. Coque_1	CIBER-ESP. Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria IRYCIS; Instituto de Biomedicina y Biotecnología de Cantabria IBBTEC UC-SODERCAN-CSIC
PS1	PO06	1	The Contaminated Genome	Peder Worning	Peder Worning_1; Heidi Gumpert_1; Jesper Boye Nielsen_1; Henrik Westh_1	Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre Hospital
PS1	PO07	1	Genome-based Epidemiological Surveillance Of Listeria Monocytogenes At A Global Scale	Alexandra Moura	Alexandra Moura_1; Hannes Pouseele_2; Alexis Criscuolo_1; Mylène Maury_1; Marie Touchon_1; Alexandre Leclercq_1; Viviane Chenal-Francisque_1; Hélène Dieye_1; Thomas Cantinelli_1; Louis Jones_1; Elise Larsonneur_1; Cheryl Tarr_3; Heather Carleton_3; Zuzana Kucerova_3; Lee Katz_3; Steven Stroika_3; Jonas T. Larsson_4; Aleisha Reimer_5; Matthew Walker_5; Celine Nadon_5; Eva M. Nielsen_5; Tim Dallman_6; Kathie Grant_6; Peter Gerner-Smidt_3; Bruno Pot_2; Marc Lecuit_1; Sylvain Brisse_1	Institut Pasteur;Applied-Maths;Centers for Disease Control and Prevention;Statens Serum Institut;Public Health Agency of Canada;Public Health England
PS1	PO08	1	Fimtyper; A Web Tool For !!E. Coli!!! Fimh Genotyping	Henrik Hasman	Evgeni Sokurenko_1; Veronika Tchesnokova_1; Mariya Muradova_1; Sujay Chattophadhay_1; Johanne Ahrenfeldt_2; Rosa Allesøe_2; Frank Hansen_3; Anette Hammerum_3; Henrik Hasman_3	University of Washington;Technical University of Denmark;Statens Serum Institut
PS1	PO09	1	Examining Gene-by-gene Diversity Across Thousands Of Whole Genomes To Determine Suitable Targets	Sofia Hauck	Sofia Hauck_1	University of Oxford
PS1	PO10	1	Core Genome Typing: A Useful Tool For Micro-epidemiological Investigations Involving !!Staphylococcus aureus!!!?	Bruno Pichon	Bruno Pichon_1; Michel Doumith_1; Neil Woodford_1; Angela M. Kearns_1	Public Health England
PS1	PO11	1	Genetic Diversity Of !!Salmonella typhimurium!!! And !!Salmonella enteritidis!!! Isolated From Ducks And Chickens Using Random Amplified Polymorphic DNA (RAPD)	Frederick Adzitey	Frederick Adzitey_1; Courage Kosi Setsoafia Saba_2; Raja Arief Deli_3	University for Development Studies, Animal Science Department;University for Development Studies, Department of Biotechnology;Food Technology Research Centre, Malaysian Agriculture Research and Development Institute
PS1	PO12	1	Application Of PCR-RFLP Provides As Discrimination As Total FLAA Sequence Analysis Among !!C. Jejuni!!! Isolates Of Clinical Origin	Mahdi Ghorbanalizadgan	Mahdi Ghorbanalizadgan_1;BitaBakhshi2; ShahinNajar-Peerayeh_2	Department of Bacteriology, Faculty of Medical Sciences, TarbiatModares University, Tehran, IR Iran;Department of Bacteriology, Faculty of Medical Sciences,Baqiyatallah University, Tehran,IR Iran
