id	session_ID	title	speaker	authors	affiliations	time
OP01	1	Nullarbor: Reads To Reports, Rapidly	Torsten Seemann	Torsten Seemann_1; Dieter Bulach_1; Jason Kwong_1; Anders Goncalves Da Silva_1; Benjamin Howden_1	University of Melbourne	14:00-14:15
OP02	1	Scalable And User-Friendly Workflows For Molecular Epidemiology Using Enterobase	Martin Sergeant	Martin Sergeant_1; Nabil-Fareed Alikhan_1; Zhemin Zhou_1; Mark Achtman_1	University of Warwick	14:15-14:30
OP03	1	Successes And Challenges In High Throughput Whole Genome Sequencing Of Viruses	Dan Frampton	Dan Frampton_1; Tiziano Gallo Cassarino_1; Zisis Kozlakidis_1; Anne Hoppe_1; Deenan Pillay_2; Paul Kellam_3	Division of Infection and Immunity, UCL;Wellcome Trust Africa Centre for Health and Population Studies;Wellcome Trust Sanger Institute	14:30-14:45
SC01	1	Whole Genome Sequence Analysis (wgsa.net). An Exemplar Using !!Staphylococcus aureus!!!	David Aanensen	David Aanensen_1_2	Department of Infectious Disease Epidemiology, Imperial College London; Wellcome Trust Sanger Institute, Kingdom	14:45-15:00
OP05	1	The Epiquant Framework For Assessing Epidemiologic And Genetic Concordance: Towards Improved Use Of Genomic Data In Epidemiological Applications.	Eduardo N. Taboada	Benjamin Hetman_1; Steven K. Mutschall_2; Victor P. J. Gannon_2; James E. Thomas_1; Eduardo N. Taboada_2	Department of Biological Sciences, University of Lethbridge;National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada	15:00-15:15
OP06	1	CLIMB: Developing A National Cloud Infrastructure For Microbial Bioinformatics	Emily Richardson	Emily Richardson_1; Nick Loman_1; Simon Thompson_1; Matthew Ismail_2; Sam Sheppard_3; Thomas Connor_4; Mark Pallen_2	University of Birmingham;University of Warwick;University of Swansea;University of Cardiff	15:15-15:30
OP07	2	Resolving Genotype-Phenotype Maps Of Opportunistic Pathogenicity In !!Staphylococcus epidermidis!!! To Identify Functional Markers Of Infection	Guillaume Méric	Guillaume Méric_1; Leonardos Mageiros_1; Samuel K. Sheppard_1	Swansea University Medical School	08:30-08:45
OP08	2	Multiomic Approach To Delineate Intraclonal Diversity Of CG14 And CG15 !!Klebsiella pneumoniae!!!	Carla Rodrigues	Carla Rodrigues_1; Val F Lanza_2; Clara Sousa_3; Elisabete Machado_4; João A Lopes_5; Fernando Baquero_2; Luísa Peixe_1; Ângela Novais_1; Teresa M Coque_2	REQUIMTE@UCIBIO, Faculdade de Farmácia da Universidade do Porto; Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS)/CIBERESP; Center of Biological Engineering, University of Minho; REQUIMTE@UCIBIO, Faculdade de Farmácia da Universidade do Porto/FP-ENAS/CEBIMED. Faculdade de Ciências da Saúde, Universidade Fernando Pessoa; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa	08:45-09:00
OP09	2	Evolution Of The Skin Commensal !!Staphylococcus epidermidis!!! In The Hospital Environment: Insights From An Early Collection	Joana Rolo	Joana Rolo_1; Rita Sobral_2; Jesper Boye Nielsen_3; Peder Worning_3; Rory Bowden_4; Samuel Sheppard_5; Guillaume Méric_5; Robert Skov_6; Henrik Westh_3; Hermínia de Lencastre_7; Maria Miragaia_1	Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Bacterial Evolution and Molecular Epidemiology, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier ; Laboratory of Molecular Microbiology of Bacterial Pathogens, UCIBIO-REQUIMTE, Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa; Department of Clinical Microbiology, Hvidovre University Hospital; Wellcome Trust Centre for Human Genetics, University of Oxford; College of Medicine, Swansea University, Institute of Life Science; MRC CLIMB Consortium, Swansea University, Institute of Life Science; Statens Serum Institut; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University	09:00-09:15
OP10	2	Evolution And Adaptation Of !!Pseudomonas aeruginosa!!! Within Patients With Cystic Fibrosis	Rasmus Lykke Marvig	Rasmus Lykke Marvig_1	Rigshospitalet, Copenhagen University Hospital	09:15-09:30
